Well,Platform,Sand Risk,"WHFP
(bars)",Date of last survey,Last sand level,Marker,Sand control,"ClampOn
Survey
Frequency",Delay survey (days),Next Survey Date,Velocity,SandProbe installation date,Choke Type,T-shape Installation,"EMS
(Erosion Monitoring system)",Gas Detector,"Change
choke
request",WELL STATUS,"Top Perfo Depth
(mSS)",Current Qgas (MMscfd),"DP Ratio (WHFP/ Flow Line Pressure), Barg",Max. Del. Pot. (MMscfd)
TN-Gx36,GTSGx,High,58,,,SU1,NO,2 weeks,,Not yet survey,0,21-Oct-12,Cameron Plug & Cage CC40,, , ,SI,SIBU_due to no flow. MNT/CS Took out HIMA SSS module on 15/08/2022 (Well can not POP). Last visited on 28/09/2023. Ann#A vaccum. C.I package regulator N/A. SDV Outgoing Stuck open. 2nd SDV incomming can't open due to 3way stuck.,2638,0,,1.2
TN-Gx38,GTSGx,High,80,,,SU1,NO,2 weeks,,Not yet survey,0,21-Oct-12,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visited on 28/08/2023. MNT/CS Taked out HIMA SSS module on 05/02/2022 (Well can not POP). Ann#B PG n/a. Remove DBB,DBC and Thermowell at Xmastree and install blind. CI package regulator N/A. 2nd SDV incomming can't open due to 3w",3013,0,,1.5
TN-S26,GTSS,High,192,,,SU1,NO,2 weeks,,Not yet survey,,4-Mar-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visited on 25/09/2023. Internal bean choke Not Available. Hydraulic pump oil empty.,2767,0,,0
TN-1-D,GTSB,High,105,28-Aug-18,,SU1,NO,2 weeks,0,11-Sep-18,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (26/05/2023). Fully Shut in well. PG ann A,B,C broken. Control line for DHSV using lower compartment.",2739,0,,0
TN-A103,GTSA,High,150,10-Jan-20,Sand Free,SU2,NO,2 weeks,0,24-Jan-20,0,26-Sep-12,Vonk DV,YES, , ,SI,"SIBU_due to no flow. Well visited (28/07/2023). Dial plate was removed to TN-TMx48. Vonk NDV Dux type. Manual wing stuck open. Performed CC replacement, completed. Leak test not performed due to internal WH choke N/A, Manual Wing Valve stuck, and UMV pump",2952,0,,0.6
TN-A28-ST1,GTSA,High,13,20-Nov-23,Sand Free,SU1,NO,2 weeks,0,4-Dec-23,0,,Vonk,YES, , ,SI,SIBU_due to no flow. Well visited (02/12/2023).,2682,0,,0
TN-A39,GTSA,High,111,29-Jul-22,Sand Free,SU2,NO,2 weeks,0,12-Aug-22,0,31-Jul-13,Vonk,YES, , ,SI,SIBU_due to no flow. Well visited (24/07/2023). DHSV type: Non-Equalizing.,3281,0,,0
TN-A418,GTSA,High,13.8,5-Feb-22,Sand Free,SU1,NO,2 weeks,0,19-Feb-22,,12-May-20,Masterflo P3,YES,,,SI,SIBU_due to no flow. Well visited (15/08/2023). Well  with DHSV K-valve type. K-valve closed at 12.7 Bars. Nuflo OK.  Spie for Hand Wheel and Scale Indicator of WHchoke Masterflo N/A. ADD perforation cpl --- waiting next program (waiting replace K valve p,2866,0,,
TN-A94,GTSA,High,13,8-Jun-23,Sand Free,Shallow,GP,2 weeks,0,22-Jun-23,0,1-Jul-12,Cameron Plug & Cage CC40,YES, , ,SI,SIBU_No flow. Well visited (30/09/2023). Ann#C =  no PG. NuFlo not accurate.  Flow to TMP-1.,1015,0,,0.5
TN-A97,GTSA,High,0,10-Oct-23,Sand Free,Shallow,GP,2 weeks,0,24-Oct-23,0,13-Jun-13,Cameron Plug & Cage CC40,YES, , ,SI,"SIBU due to no flow, 'Well visited (17/10/2023). PG Ann#A N/A. DHSV hydraulic pump has problem (Low Performance). Nuflo is off. Flow to TMP-1.",750,0,,14.9
TN-AA206,GTSAA,High,20,12-Apr-23,Sand Free,Shallow,GP,2 weeks,0,26-Apr-23,,2-Nov-16,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Visited 25/11/2023. Nuflo error.,931,0,,
TN-AA56,GTSAA,High,0,21-Nov-23,Sand Free,Shallow,GP,2 weeks,0,5-Dec-23,0,12-Oct-10,Cameron Fixed,YES, ,YES,SI,SIBU_due to no flow. 'Visited 20/11/2023. Qgas no reference. Ann A/B/C are PG broken.,882,0,,0
TN-AA98,GTSAA,High,110,21-Nov-20,Sand Free,Shallow,GP,2 weeks,0,5-Dec-20,0,12-Oct-14,Vonk,YES,,,SI,SIBU_due to no flow. Visited 1/10/2023. Barton chart was missing. CI package not completed. Internal vonk choke removed and install to TN-S84.,998,0,,1.1
TN-Ax121,GTSAx,High,0,18-Sep-19,Sand Free,SU1,NO,2 weeks,0,2-Oct-19,0,16-Mar-13,Cameron Plug & Cage CC40,, , ,SI,SIBU_due to no flow. Well visited (20/02/2023). Found manual WV stuck closed. Depressurize line above DHSV until u/s production header prior GTS-Ax preservation.,3218,0,,2.4
TN-Ax126,GTSAx,High,0,30-Oct-19,Sand Free,SU3,NO,2 weeks,0,13-Nov-19,0,24-Jan-14,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (10/02/2023). Found PSV flowline big passing. Depressurize line above DHSV until u/s production header prior GTS-Ax preservation. SSV Wing, W/H Choke, Manual Wing Valve N/A.",3239,0,,0
TN-Ax140,GTSAx,High,121,22-Jul-22,Sand Free,SU1,NO,2 weeks,0,5-Aug-22,0,22-Sep-15,Cameron Plug & Cage CC40,YES, , ,SI,"SIBU_due to no flow. Well visited (23/05/2023). Depressurize line above DHSV until u/s production header prior GTS-Ax preservation. Drain sump tank, cpl.",2827,0,,0.2
TN-Ax153,GTSAx,High,114,15-Nov-21,Sand Free,SU3,NO,2 weeks,0,29-Nov-21,0,18-Aug-14,Cameron Plug & Cage CC40,YES,,,SI,SIBU_due to no flow. Well visited (16/02/2023). Depressurize line above DHSV until u/s production header prior GTS-Ax preservation.,3320,0,,1.2
TN-Ax48,GTSAx,High,130,5-Nov-17,,SU1,NO,2 weeks,0,19-Nov-17,0,2-Jan-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Fully Shut in verification. Well visited (02/12/2022). Ann#C no PG.  Ball valve PSLL  DHSV passing. Depressurize line above DHSV until u/s production header prior GTS-Ax preservation. Remove manual wing & install dummy spool.,2779,0,,0
TN-Ax58,GTSAx,High,178,15-Nov-21,Sand Free,SU1,NO,2 weeks,0,29-Nov-21,0,9-Jul-13,Vonk Non DV,YES, , ,SI,"SIBU_due to no flow. Well visited (13/08/2023). Remove DBB. Depressurize line above DHSV until u/s production header prior GTS-Ax preservation. Remove manual wing & install dummy spool. Reverse spectacle at drain line, cpl. Leak at vent hole of Regulator",3441,0,,0
TN-Ax65,GTSAx,High,5,17-Aug-17,,SU1,NO,2 weeks,0,31-Aug-17,0,6-Jul-13,Vonk,YES, , ,SI,SIBU_due to no flow. Fully Shut in verification. Well visited (08/12/2022). DBC & Thermowell at wellhead has been removed for cannibalization. Ann#C inaccessible. Depressurize line above DHSV until u/s production header prior GTS-Ax preservation. Reverse,2655,0,,0
TN-Ax71,GTSAx,High,0,6-May-21,Sand Free,SU2,NO,2 weeks,0,20-May-21,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Sigma UMV broken. Well visited  (20/07/2023). Inner 1 Ann A hard to operate. Depressurize line above DHSV until u/s production header prior GTS-Ax preservation. Remove manual wing and DBB & install dummy spool. Reverse spectacle at dr,2825,0,,0
TN-B103,GTSB,High,60,3-Jun-20,Sand Free,SU1,NO,2 weeks,0,17-Jun-20,0,6-Mar-13,Vonk DV,YES, , ,SI,"SIBU_due to no flow. Well visited (18/12/2023). UMV pump broken, jumper from DHSV pump.",2360,0,,0.1
TN-B138,GTSB,High,129.3,19-Sep-22,Sand Free,SU1,NO,2 weeks,0,3-Oct-22,0,14-Aug-15,Vonk Non DV,YES,,,SI,"SIBU_due to no flow, high liquid producer. Well visited (15/10/2023). Nuflo broken, cover Nuflo stuck. FLOW TO TMP 1.  Dialplate N/A. hydraulic low level",2504,0,,2.5
TN-B142,GTSB,High,90,6-Apr-23,Sand Free,SU1,NO,2 weeks,0,20-Apr-23,0,7-May-13,Cameron Plug & Cage CC30,YES, , ,SI,"SIBU_due to no flow. Well visited (18/12/2023). NuFlo Broken. PG ann A,B,C broken. SkoFlo plugged.",2736,0,,0
TN-B147,GTSB,High,0,8-Jun-23,Sand Free,SU1,NO,2 weeks,0,22-Jun-23,0,6-Jun-12,Cameron Plug & Cage CC30,YES, , ,SI,SIBU_due to no flow. Well visited (22/07/2023). Ann#B PG n/a. Ensure to wellbase before depressurized flowline due to PSLL interconection. Flow to TMP-1.,3015,0,,0
TN-B149,GTSB,High,104.5,27-May-21,Sand Free,SU2,NO,2 weeks,0,10-Jun-21,0,6-Jun-12,Vonk,YES, , ,SI,"DO NOT POP (Thinning issue at well flowline d/s MWV). Well visited (06/06/2023). Ensure to wellbase before deppressurized flowline due to PSLL interconection. Flow to TMP-1. Flowline Disconnected and installed Blind. 'Inject water + Biocide to 8"" well flowline d/s WH choke -- completed ( 200 L water + 1 liter Biocide ). Found swab valve and Ann#A outer valve stuck",3110,0,,0
TN-B15,GTSB,High,32,3-Jun-22,Sand Free,Intrabeta,NO,2 weeks,0,17-Jun-22,0,28-Mar-11,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (25/03/2023). PG DHSV broken. Ensure to wellbase before deppressurized flowline due to PSLL interconection. Flow to TMP-1. Manual wing valve stuck open. Pump relay at CI injection broken.,2786,0,,0
TN-B150,GTSB,High,171,29-Jun-22,Sand Free,SU1,NO,2 weeks,0,13-Jul-22,0,21-Feb-14,Masterflo P3,YES, , ,SI,Sand_due to sand produce. Keep S/I as per WPT recommendation. Well visited (10/12/2022). Flow to TMP-1.,2517,0,,2.6
TN-B18,GTSB,High,150,8-Jun-19,Sand Free,SU1,NO,2 weeks,0,22-Jun-19,0,28-Jun-13,Vonk,YES, , ,SI,"SIBU_due to no flow. Well visited (03/03/2023). Perform surface facilities condition verification as WPT request, finding: leak upstream flange of instrument flange. Replace ring joint at downstream SSV actuator flange due to leaking --> Postponed due to not accessible, need scaffolding Tubing connection CI to skoflo N/A. IG Regulator of SDV incoming Under repair by IS team.",2414,0,,0
TN-B2,GTSB,High,130.6,13-Apr-17,,SU1,NO,2 weeks,0,27-Apr-17,0,26-Sep-14,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (16/07/2023). UMV pump jumped from DHSV pump. Leak at vent hole pilot PSLL. Fully shut in Well.,2947,0,,0
TN-B21.T2,GTSB,High,50,9-Jun-17,,SU1,NO,2 weeks,0,23-Jun-17,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (26/07/2023). ESDV outgoing is passing. Regulator ESDV outgoing leaking.  Leaking at bonnet of UMV.,2598,0,,0
TN-B29,GTSB,High,9.8,23-Jan-19,Sand Free,SU1,NO,2 weeks,0,6-Feb-19,0,3-Jun-17,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (11/11/2023). Bleeder plug broken. Skoflo N/A.,2356,0,,0
TN-B415,GTSB,High,0,8-Aug-22,Sand Free,SU3,NO,2 weeks,0,3-Oct-22,0,16-May-15,Vonk Non DV,YES,,,SI,"Offload_SI for rig down after offload completed, kept S/I due to weak flow. Well visited (21/12/2023). NuFlo error. Trial sand probe with new type KS (24/05/2021). CI not injected due to leaking at level glass.",2946,0,,2.9
TN-B427,GTSB,High,90,25-May-23,SandFree,SU1,NO,2 weeks,0,8-Jun-23,0,24-Jan-15,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Well visited (26/12/2023). NuFlo display error. Flow to TMP-1. SkoFlo N/A. Found check valve u/s Sigma at hyd line to UMV plugged.,2732,0,,3.9
TN-B454,GTSB,High,80,6-Jan-18,,SU1,NO,2 weeks,0,20-Jan-18,0,24-Dec-12,Vonk,YES, , ,SI,"SIBU_due to no flow. Well visited (19/12/2023). Fully shut in Well. Ann B# No Acces, Under deck. Seal spring vonk choke removed to TN-B73. IG Regulator of SDV incoming under repair by IS team.",2771,0,,0.8
TN-B455,GTSB,High,87.5,14-Feb-23,Sand Free,SU1,NO,2 weeks,0,28-Feb-23,0,2-Feb-15,Cameron Plug & Cage CC30,YES,,,SI,SIBU_due to no flow. Well visited (28/11/2023). NuFlo Not Accurate (temp freeze at 15°C). ESDV Outgoing indicator stuck 50%. Flow to NPU Via Slot 16K.  Flow to TMP-1.,2724,0,,0.4
TN-B458,GTSB,High,143.5,14-Nov-17,,SU1,NO,2 weeks,0,28-Nov-17,0,2-Feb-15,Cameron Plug & Cage CC30,YES,,,SI,SIBU_due to no flow. Well visited (04/12/2023). ESDV Outgoing Local Indicator Broken.,2831,0,,1.4
TN-B7,GTSB,High,200,21-Apr-17,,SU1,NO,2 weeks,0,5-May-17,0,30-Aug-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (18/12/2023). UMV header pressure jumper from DHSV header pressure.,2813,0,,0
TN-B73,GTSB,High,100,18-Oct-21,Sand Free,Shallow,GP,2 weeks,0,1-Nov-21,0,21-Aug-11,Vonk,YES, ,NOT YET,SI,SIBU_rig down testing barge. Well kept shut-in due to weak flow. Well visited (17/12/2023). Manual wing valve stucked OPEN.,1232,0,,1.1
TN-B85,GTSB,High,3,14-Jul-19,Sand Free,Shallow,GP,2 weeks,0,28-Jul-19,,28-Mar-17,Vonk,YES,,,SI,SIBU_due to no flow. Well visited (06/12/2023). NuFlo cover hard to open. Line to TMP-1.,911,0,,
TN-Bx117,GTSBx,High,122,26-Mar-17,,SU1,NO,2 weeks,0,9-Apr-17,0,25-Dec-16,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (16/12/2023). Fully shut in Well. PSV replacement completed leak test only 9,5 Barg due to SSV wing problem (SOV broken). Canibalize PIT flowline to be used for TN-Bx116.",2868,0,,0.1
TN-Bx118,GTSBx,High,11,8-Jun-22,Sand Free,SU1,NO,2 weeks,0,22-Jun-22,0,18-Mar-17,Vonk DV,YES, , ,SI,SIBU_due to weak flow after clean up. Well visited (10/11/2023).,2950,0,,2.2
TN-Bx127,GTSBx,High,161,21-Aug-18,,SU1,NO,2 weeks,0,4-Sep-18,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (23/07/2023). Annulus #B inner valve stuck close. Manual wing valve gear box N/A. Depressurize well string above DHSV until GTS flowline ( preservation prepare ),3017,0,,3.4
TN-Bx24,GTSBx,High,153,4-Dec-17,,SU2,NO,2 weeks,0,18-Dec-17,0,30-Aug-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (21/10/2023). Canibalize PIT flowline to be used for TN-Bx116. SOV master valve broken. LALL 100106 hydraulic for Master valve Magenta.,3202,0,,0
TN-Bx61,GTSBx,High,140,26-Jun-21,Sand Free,SU1,NO,2 weeks,0,10-Jul-21,0,28-May-13,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (21/10/2023). FT GTS Good. LALL 100106 hydraulic for Master caniballized, Magenta Alarm on HMI.",3479,0,,0.8
TN-C10,GTSC,High,98,14-Aug-19,Sand Free,SU1,NO,2 weeks,0,28-Aug-19,0,13-Nov-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Last visit on 11/07/2023. F/R Broken.Vent hole bonnet leak Master and SSV Wing.,2865,0,,0.1
TN-C102,GTSC,High,0,11-May-23,Sand Free,SU1,NO,2 weeks,0,25-May-23,0,27-Jan-14,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visit on 13/10/2023. Skoflo removed by PRD/MNT for TN-C69. Ann#B, Ann#C PG broken. F/L Rec Broken. UMV and DHSV Pump low performens. Flow to TMP 1. Depressurize flowline up to GTS due to thinning issue. Jumper line closed. Do not",3269,0,,0.1
TN-C116,GTSC,High,20,12-Jun-17,,SU1,NO,2 weeks,0,26-Jun-17,0,8-Jan-17,Vonk,YES, , ,SI,SIBU_due to no flow. Fully shut-in well. Last visit on 11/07/2023. F/L Rec Broken. Ann B no PG. instrumental package ESDV incoming not complete. First Esdv  there are no regulator and Quick Exhaust.Second Esdv Regulator 3 way instrumentasi not Complete.,2382,0,,0
TN-C128,GTSC,High,121,27-Oct-21,Sand Free,SU1,NO,2 weeks,0,10-Nov-21,0,22-Oct-13,Cameron Plug & Cage CC30,YES, , ,SI,"SIBU_due to no flow. Last visit on 15/10/2023. Second PSDV actuator N/A (used for PSDV line B). Ann#A = no PG. Ann#B no PG. CI Covers TN-C127.Performed CC replacement.Leak test not performed due to internal DHSV & UMV Pump N/A , and tubing instrumentation",2733,0,,8.7
TN-C134,GTSC,High,90,28-Feb-23,Sand Free,SU1,NO,2 weeks,0,14-Mar-23,0,12-Jan-14,Cameron Plug & Cage CC40,YES, , ,SI,SIBU_due to no flow. Last visit on 13/10/2023. Flow to TMP-1. Manual WV Stuck. Valve Ann#A inner & outer hard to operate.,2591,0,,0.2
TN-C135,GTSC,High,175,10-Oct-23,Sand Free,SU1,NO,2 weeks,0,24-Oct-23,0,12-Jan-14,Cameron Plug & Cage CC40,YES, , ,SI,SIBU_due to no flow. Last visit 02/01/2024. Nuflo not accurate. PG ann #A broken. Skoflo N/A. Flow to TMP-1. WHSIP UPDATED.,2394,0,,0
TN-C136,GTSC,High,13,12-Dec-23,Sand Free,SU2,NO,2 weeks,0,26-Dec-23,0,10-Sep-12,Cameron Fixed,YES, ,N/YET,SI,"SIBU_due to no flow, Last visit on 13/12/2023. NuFlo not accurated.",2585,0,,7.4
TN-C137B,GTSC,High,135,1-Dec-23,Sand Free,SU1,NO,2 weeks,0,15-Dec-23,0,6-Dec-15,Vonk DV,YES,,,SI,SIBU_due to no flow.  Last visit on 17/12/2023. Cover NuFlo stuck can't opened. Flow TMP 1.,2636,0,,0.2
TN-C22,GTSC,High,0,15-May-21,Sand Free,SU1,NO,2 weeks,0,29-May-21,0,17-Dec-10,44550,YES, , ,SI,Well plugged and cemented due to kick of Raissa rig. Last visit on 23/03/2022.,2877,0,,0
TN-C24,GTSC,High,164.5,24-Apr-19,Sand Free,SU1,NO,2 weeks,0,8-May-19,0,10-Jul-13,Cameron Fixed,YES, , ,SI,Perfo clean up_add perfo & clean up completed. Keep shut-in waiting for WPT recommendation. Last visit on 27/09/2022. PG Ann#A&B N/A. instrumental package ESDV incoming not complete.,2371,0,,0.1
TN-C26,GTSC,High,30,31-Aug-22,Sand Free,SU1,NO,2 weeks,0,14-Sep-22,0,15-Apr-13,Vonk DV,YES, , ,SI,"SIBU_due to no flow. Last visit on 29/04/2023. CI Pump is broken. Remove internal orifice Vonk choke 6 mm DV --> To be used at TN-A160, TN-C26 Keep no internal orifice inside.",2488,0,,1
TN-C32,GTSC,High,142,25-Feb-23,Sand Free,SU1,NO,2 weeks,0,11-Mar-23,,6-Nov-15,Vonk DV,YES,,,SI,SIBU_due to no flow. Last visit on 15/10/2023. Flow to TMP-1. Nuflo N/A.,2982,0,,
TN-C411,GTSC,High,16,26-Sep-23,Sand Free,SU4,NO,2 weeks,0,10-Oct-23,,19-Oct-17,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Last visit on 17/12/2023. NuFlo incomplete. CI instrumentation not complete.,3158,0,,
TN-C440,GTSC,High,151,15-Oct-21,Sand Free,Main,NO,2 weeks,0,10-Dec-21,,4-Feb-18,Vonk DV,YES,,,SI,SIBU_due to no flow. Last visit on 30/12/2023. NuFlo not accurate. Depressurize Slot 17H and Passing test manifold prior open flange activity. BV at D/S BDV IGS Closed due to depressurize Slot 17H.  Keep isolate SDV Incoming and valves at manifold. Do not,2440,0,,
TN-C444,GTSC,High,32,11-Feb-19,Sand Free,SU1,NO,2 weeks,0,25-Feb-19,0,11-Sep-13,Cameron Plug & Cage CC40,YES, , ,SI,Last visit on 18/10/2023. 8'' Line to GTS keep depressurized due to thinning issue (Riser repair coating I/P). Autochoke can't be operated automatically or manually. F/L Rec Broken. Kenco CI removed by PRD/MNT.,2580,0,,4.1
TN-C449,GTSC,High,58,18-Apr-19,Sand Free,SU4,NO,2 weeks,0,2-May-19,,,Vonk Non DV,YES,,,SI,SIBU_due to no flow. (after PBMS). Last visit on 02/12/2023. Cover NuFlo stuck. DHSV leaking at exit block due to thread defect.,2759,0,,
TN-D64,GTSD,High,68,9-May-19,Sand Free,Shallow,GP,2 weeks,0,23-May-19,0,9-Feb-16,Vonk DV,YES,,,SI,POP revive cannot be performed d/t flowline is disconnected. Last visited 21/05/2023.,948,0,,
TN-Dx124,GTSDx,High,0,22-Jun-18,,SU3,NO,2 weeks,0,6-Jul-18,0,22-Jan-15,Vonk DV,YES,,,SI,SIBU_due to no flow. Well Plugged. Installed mini tree. Last visited 10/11/2023. Fully shut-in well.,2900,0,,0.7
TN-E30,GTSE,High,142,15-Mar-18,,SU3,NO,2 weeks,0,29-Mar-18,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (17/11/2023). CANNOT POP (Corrosion issue at riser IGS line). Pressure test after PSV flowline replacement could not be done due to FL corrosion issue.,2836,0,,0
TN-F11,GTSF,High,92,21-Oct-21,Sand Free,SU1,NO,2 weeks,0,4-Nov-21,0,16-Feb-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow.Well visited (25/12/2023).  Found UMV leaking at vent hole (gas comes out).,2484,0,,2.2
TN-F13,GTSF,High,82,21-Sep-22,Sand Free,SU1,NO,2 weeks,0,5-Oct-22,0,7-Nov-12,Vonk,YES, , ,SI,"SIBU_due to no flow. Well visited. (22/12/2023). Autochoke cannot be regulated, only fully open/close. Tubing for supply ABB not completed. Bonet actuator master valve leaking.",2988,0,,1.4
TN-F142,GTSF,High,135,23-Jun-17,,SU1,NO,2 weeks,0,7-Jul-17,0,7-Jul-14,Cameron Plug & Cage CC40,,,,SI,SIBU_due to no flow. Fully shut in well. Well visited (26/12/2023). Manual Wing valve stuck closed. F/L Valve Passing 3 Bars/hour. PSV hydraulic DHSV d/s sigma is passing. DHSV pump leak at filter. Wellhead choke stuck.,2481,0,,4.6
TN-F16,GTSF,High,164,20-Mar-18,,SU1,NO,2 weeks,0,3-Apr-18,0,21-Oct-12,Cameron Fixed,YES, , ,SI,Plugging well. Well visited (01/04/2023). F/L disconnected for new well. Flowline reutilization for TN-F488/F485. Fully shut in well.,2350,0,,1
TN-F19,GTSF,High,140,1-May-18,,SU1,NO,2 weeks,0,15-May-18,0,20-Oct-12,Cameron Fixed,YES, , ,SI,Flowline disconnected. Well visited (18/12/2023). F/L Valve Passing 4 Bars/20 min.  Fully shut in well.,2440,0,,0.7
TN-F29,GTSF,High,10,22-Jan-18,,SU1,NO,2 weeks,0,5-Feb-18,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (07/12/2023). Fully shut in well.,2576,0,,0
TN-F51,GTSF,High,15,7-Apr-22,Sand Free,Shallow,GP,2 weeks,0,21-Apr-22,0,6-Feb-13,Cameron Plug & Cage CC40,YES, , ,SI,"SIBU_due to no flow. Well visited (24/12/2023). Autochoke cannot be regulated, only fully open/close. NuFlo thread broken, FT GTS Not accurate.",1530,0,,1.5
TN-F9,GTSF,High,61,28-Apr-19,Sand Free,SU1,NO,2 weeks,0,12-May-19,0,31-Aug-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (22/07/2023). FR broken. F/L Valve Passing 3 Bars/hour. DHSV pump leak at filter.,3307,0,,0
TN-Fx111,GTSFx,High,92,17-May-22,Sand Free,SU1,NO,2 weeks,0,31-May-22,0,7-Jul-13,Vonk DV,YES, , ,SI,SIBU_due to no flow. Well visited (08/06/2023). Autochoke forced open. Found MWV hard to operate. Regulator AutochokeN/A.,2449,0,,2.2
TN-Fx117,GTSFx,High,59,20-Aug-17,,SU1,NO,2 weeks,0,3-Sep-17,0,21-Feb-16,Cameron Plug & Cage CC30,YES, , ,SI,"SIBU_due to no flow. Well visited (15/11/2023). W/H choke big passing, manual wing stuck open. SOV for SSV wing problem.",2394,0,,1.1
TN-Fx124,GTSFx,High,158,28-Dec-19,Sand Free,Intrabeta,NO,2 weeks,0,11-Jan-20,0,7-Aug-13,Vonk DV,YES, , ,SI,SIBU_due to no flow. Well visited (28/11/2023). Found Ann#A outlet 2 valve Hard to operate.,2621,0,,0
TN-Fx130,GTSFx,High,14.4,13-May-23,Sand Free,SU1,NO,2 weeks,0,27-May-23,0,1-Jan-17,Cameron Blind CC40,, , ,SI,Offload_SI for rig down after offload completed keep shut in weak flow. Well visited (17/10/2023). UMV pump low performance. Manual wing valve stuck open. GTS autochoke close position.,2539,0,,3.2
TN-Fx132,GTSFx,High,138,4-Mar-20,Sand Free,SU1,NO,2 weeks,0,18-Mar-20,0,,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (22/12/2023). Autochoke positioner problem. Ann#B PG broken.,2513,0,,0.4
TN-Fx141,GTSFx,High,120,12-Jun-23,Sand Free,SU1,NO,2 weeks,0,26-Jun-23,0,27-Dec-13,Cameron Plug & Cage CC40,, , ,SI,SIBU_due to no flow. Well visited (15/11/2023). FT GTS not accurate. Ann#B PG broken.,2477,0,,0
TN-Fx23,GTSFx,High,98,5-May-17,,SU1,NO,2 weeks,0,19-May-17,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Fully shut in well. Well visited (15/11/2023). Skoflo N/A. Found LIT hyd oil for DHSV  n/a and LIT hyd oil for UMV no display at local panel. PSV replacement completed, pressure test 11 barg due to SOV DHSV stuck closed.",2924,0,,0
TN-Fx26,GTSFx,High,12.3,19-Oct-20,Sand Free,SU1,NO,2 weeks,0,2-Nov-20,0,23-Apr-13,Vonk non DV,YES, , ,SI,"SIBU_due to no flow. Well visited (29/11/2023). Found LIT hyd oil for DHSV  n/a and LIT hyd oil for UMV no display at local panel. Remove internal Vonk choke (for TN-Fx21). No internal inside (DO NOT POP). Found 6"" BV to test header hard to operate. Ball",2703,0,,6.8
TN-Fx31,GTSFx,High,3.8,15-Dec-21,Sand Free,SU1,NO,2 weeks,0,29-Dec-21,0,22-Jun-13,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Fully shut in well. Well visited (02/04/2023). SOV for DHSV broken. Found MWV hard to operated.,2398,0,,0.3
TN-Fx473,GTSFx,High,104,21-Sep-22,Sand Free,SU1,NO,2 weeks,0,5-Oct-22,0,18-Jun-15,Vonk non DV,YES,,,SI,SIBU_due to no flow. Emulsion well. Well visited (03/12/2023) NuFlo Broken.  Hydrolic low level.,2584,0,,15.7
TN-Fx478,GTSFx,High,80.4,19-Feb-23,Sand Free,SU1,NO,2 weeks,0,5-Mar-23,0,27-Dec-13,Cameron Plug & Cage CC40,YES, , ,SI,SIBU_due to no flow. Well visited (18/08/2023). Found MWV stuck open during prepare line for offload. Control line MV not complete.,2834,0,,0
TN-G140,GTSG,High,160,6-Sep-17,,SU1,NO,2 weeks,0,20-Sep-17,0,17-Nov-14,Cameron Blind CC40,YES,,,SI,"Last visited on 18/12/2022. W/H choke no internal part. Found platform ESD-1 activated, tubing instrumentation not completed. Stranded Area. SDV incoming at GTS-G stuck open (Trouble shoot I/P).",2449,0,,0
TN-G150,GTSG,High,152,11-Feb-18,,SU1,NO,2 weeks,0,25-Feb-18,0,3-Jan-13,Cameron Plug & Cage CC40,YES, , ,SI,"Plugged well. Last visited on 01/08/2022. (Barton Chart at WHCP missing). Sigma DHSV and UMV taken to TN-G51 on 13/01/2015. IGS drop to 4.5 Barg, WHCP can't be operated. Found platform ESD-1 activated, tubing instrumentation not completed. Stranded Area.",2534,0,,0
